imdbId,Genre,umap_x,umap_y,cluster_dbscan
92130,Drama|Romance,2.890411,6.446428,9
1397502,Drama,3.4661205,1.3215886,4
1435513,Comedy|Romance,0.87158686,2.882131,3
106856,Crime|Drama|Thriller,3.9698718,1.1732814,4
368563,Drama|Mystery|Thriller,4.5792265,3.5033386,2
54001,Comedy|Crime|Mystery,1.3928384,3.9033494,3
43686,Drama|War,1.681933,3.1261923,3
339785,Action|Crime|Drama,3.9287415,6.0996675,5
326905,Action|Drama|War,5.022216,3.9278052,2
45787,Romance|Sci-Fi,6.8160706,5.026457,2
5812,Comedy|Short,5.2388954,3.4665544,2
2215221,Drama,3.9229474,1.9627494,4
2387589,Thriller,6.375558,4.684624,2
56969,Comedy,0.44087,3.1910703,3
113580,Comedy|Musical|Sport,3.6796465,4.489117,2
468704,Drama|Romance,5.8309097,4.6140637,2
841046,Comedy|Music,2.616345,2.9684098,3
1528100,Action|Adventure|Drama,4.8846154,3.8851368,2
106535,Drama,4.249415,3.990796,2
98503,Action|Comedy|Horror,6.134344,3.6454453,2
1104814,Drama|Thriller,7.405846,3.6976812,2
1969057,Drama,6.813934,3.230841,2
4125856,Documentary|Biography|Family,4.121928,1.1892292,4
120211,Comedy|Drama|Romance,5.138961,2.1483896,2
210299,Drama|Music,6.1010766,4.42785,2
93286,Horror,4.443233,2.986605,2
46414,Action|Adventure|Comedy,2.3316395,3.9080691,12
869152,Horror|Mystery|Thriller,7.2509246,3.9266772,2
441773,Animation|Action|Adventure,7.0771947,3.1935396,2
795493,Crime|Drama|Romance,2.823246,6.45787,9
808151,Mystery|Thriller,6.908178,4.6600733,2
1758770,Drama|Romance,5.795015,3.1892848,2
91538,Crime|Drama|Romance,1.913534,2.637297,3
1188998,Drama,2.8232415,1.5739444,4
119892,Crime|Drama,5.9419427,5.5058494,2
67439,Drama,4.6255393,4.470524,2
1270291,Sci-Fi|Thriller,2.7309902,6.3987374,9
406728,Action|Adventure|Fantasy,5.69301,3.567018,2
1176740,Comedy|Drama|Romance,4.9257894,2.851634,2
424228,Animation|Adventure|Family,2.2740262,3.6635952,-1
84784,Drama,0.32446218,3.6802406,3
